@relation tweet_sentiment
@attribute 'Sentiment' {positive,negative}
@attribute 'tweet' string
@data
positive,'united well it IS John Hughes birthday But I will stick w the plane amp'
negative,'I will if you can show me where this new program is beneficial to your longstanding loyal consumers united'
negative,'united all i hear is blah blah blah you shoulda used that 400 to buy a burningman ticket instead amp'
negative,'united thanks for not letting me switch flights Bc I had a checked bag then Cancelled Flighting my flight forcing me to take another 3 hrs Late Flightr'
positive,'united thank you Love united Have 4 flights today'
positive,'united Just did thanks for checking '
negative,'united just informed you dont reimburse for issues due to weather this is why your flights keep getting Cancelled FlightledThor hates you'
negative,'united Midland couldnt get our bags to connect on our Intl flight to Sydney so have to get em in LA amp'
negative,'united this may be the last time I fly your airline'
negative,'united Is your company motto I do not care  I heard several times from your employees to your clients in the past week  idonotcare'
negative,'united you should tell that to the staff at LAX then I boarded group 5 at the very end of the queue as a Gold member Thanks for nothing'
negative,'united Missing crew passenger doc problems frozen toilets and now were off the plane Give me my money back  UA3466'
positive,'united Fantastic job by your people today on ua22 from Dublin A jam packed plane but the crew was wonderful'
negative,'united there was 20 min to departure no one waiting On being pressed ground staffer threatened do you want to get to SF today fail'
negative,'united flying lax to Sfo and system wont let me check in Your site tells me to do it through AirCanada and they tell me through you'
positive,'united can I just go ahead and live in your premium cabins Im in heaven now en route to LHR'
negative,'united sure but the plane is an hour Late Flight Your ontime departure ship sailed away a long time back'
negative,'united UA6002 MLIgt'
negative,'united How come you are the ONLY airline of 90 flights last year that makes me check my carryon Not even gate checkbaggage claim'
negative,'united I had to change airports to actually get a flight out when my flight from FAY was Cancelled Flightled twice 180 taxi ride to RDUreimburse'
negative,'united yes of course I have  Is this how you treat customer with no recourse'
negative,'united Flight was overbooked Was offered voucher to wait amp'
negative,'united As a Million Miler Ive been delayed plenty NEVER in the amateurish waySilverAirwsys does it Id be embarrassed to be affiliated'
negative,'united airlines claims to have a low fare guarantee but they wont honor a lower fare that I found'
negative,'united Another delayed United flight I should not be this surprised or upset Im mostly disappointed I have to Cancelled Flight my trip with my dad'
negative,'united still cant dm its LH7631 on 21215'
positive,'united Thank you Margo at Houstons Bush Intercontinental for getting me home earlier'
negative,'united I booked our flights w WestJet I saw the same prices each time I searched It wasnt the least bit frustrating customerservice'
negative,'united my cats flight was delayed 1hour  she will be arriving to Hawaii after 5 amp'
negative,'united now youve lost my bags too  At least nobody has done anything to help out  This is absurd'
negative,'united Whats up with the reduction in E on 737900s 1K who can no longer confirm E  Forget upgrades  just want legroom unitedfail'
negative,'united offered me a voucher to switch flights Now voucher offer doesnt exist amp'
negative,'united I usually like flying with you guys but 200 fee to use my credit seems ridiculous notcool exhorbitantfees'
negative,'united Thanks but not so much the missing bag as the nonexistent staff at this apparent remote outpost busy airport for city of 1M'
positive,'united sweet follow back and Ill get the dm off'
positive,'united all good Next flight was a little delayed so it all worked  thumbs up '
negative,'united Just boarded UA1297 was refused from carrying overhead bag as no space in plane now with loads of space fail customerexperience'
negative,'united get your act right You just lost customers because your staff wouldnt let us take our approved carryon on a half empty flight'
negative,'united Held up for almost 45 minutes and then promised free movies and it didnt work and neither did the wifi that was paid for Boo '
negative,'united Nice partners you have The delays keep increasing every 20 min FtLauderdaleSun orlandosentinel httptco1AtEafnC6R'
negative,'united UA1740 just admit you have no clue when flight will leave Denver unfriendlyskies'
negative,'united Just had the worst experience ever flying with you'
negative,'United UA1740 As the inbound flight dep time gets closer you push it back 15 min Youve been doing this for 2 hrs'
negative,'united why is my flight from mke to ord getting delayed Our gate attendant is not communicating'
negative,'united my plane sounds like  a DJ  scratching is this normal If so will this eventually be a new entertainment fee'
negative,'united how can i trust United with future Flight Booking Problemss when a confirmed ticketed and purchased ticket is Cancelled Flightled after the fact'
negative,'united rebooked  This one is Late Flight too'
negative,'united 2nd Late Flight flight today'
negative,'united 3586 from IAD to BUF  Incredibly loud and like a third world 70s inner city metro bus  lowstandards httptcom67WnBglXQ'
positive,'united I am blown away by stellar custserv  Thank you lt'
negative,'united your overall experience of flying is not friendly'
negative,'united a good start would be  to warm the plane before the departure time so the flight isnt delayed due to frozen water lines'
negative,'united annnnddddd Im going to lose my first class seat on the flight they shuffle me to'
negative,'united 6 hour mechanical delaykilling me'
negative,'united every time I check a bag with your airline Im confident I will be wearing the same clothes for 3 days  Please prove me wrong'
negative,'united KN not allowing me to bypass the receipt  on the refund request form Never received receipt email charged httptcoCju102xP2k'
negative,'united When will that happen It really confuses when the 1st content to come on the 6in screens is about how technology forward United is'
negative,'united you mean like my mailing address and rate By the surliness of my United coworkers Im guessing our benefits arent great'
negative,'united I already sent feedback and your reps are who told me about the priority Im speechless at your system'
negative,'united just because you are a monopoly in flySFO doesnt mean you treat your frequent fliers like crap'
negative,'united Yeah bag is on the way As per usual  Im actually getting used to getting it delivered to me its kind of nice in a sense'
negative,'united Why does it take 46 weeks for a new MileagePlus Premier card to be sent out stillwaiting doesntfeellikestatusyet'
negative,'United Wonder why people hate dealing with airlines  Ridiculous and inflexible policies  I need a phone number and a resolution  Now'
negative,'united 22 It suggests that if cant confirm cert at time of Flight Booking Problems I should assume that it may never clear Didnt used to be that way'
negative,'22 united You dont really care about our comfort you care about profitability Thats fine just own up to it unfriendlyskies'
negative,'united missing this wedding because of these delays would not be cool'
negative,'united Designed to deter people from forgetting things or to provide more storage space The article says the latter unfriendlyskies'
negative,'united what do you think missing meetings is worth  A flight voucher  I fly all the time so what would make it right'
positive,'united its amazing really'
negative,'united its ridic you cant transfer credit you have my 400 amp'
negative,'united  with airport self checkin your only option Im now your employee Training was a bitch Send my paycheck asap'
negative,'united the lack of customer service is astounding httpstco72RMpkOGwu 2daysofhell'
negative,'united my bag is a few days Late Flight to me and this is like the 3rd time in the past couple months  Where my free miles at'
negative,'united of course but they were just as helpless as everyone else '
positive,'united Flew ORD to Miami and back and  had great crew service on both legs THANKS'
negative,'united another week has passed and I hoped that I would have had a response by now'
negative,'united theres no reason it should take 710 days to respond'
negative,'united yes I know that The question is why is that still the case fail'
negative,'united There are ExitRow window shades in approx 11 of the windows  of your RJ145s lt'
negative,'united There is no excuse for leaving a minor to spend the night sobbing 9 hours in a plastic chair UAs actions Terrible  united'
negative,'united My wife and I will be sharing this dreadful experience Dont pretend UA cares about young girl traveling alone  United Airlines'
negative,'united JH going to process my refund for wifi its asking for a receipt  I never received an email you guys just whacked my credit card'
negative,'united Dont post a link to an article that verifies the initial complaint with 20 comments saying the same thing harris'
negative,'united Will breaking them in somehow make them longer so that they dont cut off the circulation in my legs unfriendlyskies'
negative,'united worst agents in US at Ft Lauderdale Airport'
negative,'united This is with regard to a flight from a couple weeks ago Im very frustrated with your policies amp'
negative,'united thanks for reaching out The seat was hard not enough cushion OK for short flight BTW UA6465 flight and crew were great'
negative,'united surprise me  Otherwise the flight is over and I dont have a good feeling about your airline'
negative,'united we have been told that its lostyou guys dont know where it is'
negative,'united DisappointedUNITED did NOT feed small CHILDREN on a 5 amp'
positive,'united Thanks to supervisor Miriam who provided me with great customer service finally'
negative,'united Filled out at the airport as part of a long day made longer'
positive,'united today the staff  MSP took customer service to a new level My father passed away last night amp'
negative,'united UA6255 delayed out of winnipeg because the plane was frozen fail Will I make my connection on UA1059 tightconnection Denver'
negative,' united you know your updates every 6 hours telling me you dont know where my bags are is also equally irritating ColtsMissingBags'
positive,'united Great thank you'
negative,'united 1627 to Montego Bay going back to gate bc 1person was Late Flight Awful service for all of who came on time'
negative,'united in other words sorry not sorry  Plenty of other airlines and I travel A LOT'
negative,'united delayed agAin by United Gate agent was borderline rude when I asked her a flight status question What is happening to United'
negative,'united just give up  Your service is terrible  If I wasnt forced to use United on certain routes I never would'
negative,'united Im checked in agent wouldnt tag my bags at 7am Now Im standing in line hell'
negative,'united this is getting ridiculous Now were missing our connection'
negative,'united Couldnt use the confirmed upgd cert you gave me bc you decided to sell anyone a biz seat for 299 Why do you bother giving them'
negative,'united any chance you can troubleshoot check ins at FlyYOW  Were at 20 minutes per person'
negative,'united how on earth could you close the united club in Atlanta What a major fail at an airport of this size'
positive,'united sorry to hear outsourcing plan Boise is best staffcust service in the country boise'
negative,'united LGAORD UA 711 Did not get agent name Argument over baggage policy'
negative,'united yes staff were rude  and unempathetic I needed jacket and tablet by 4 got at 11 If u take carryons cause plane fulldont lose em'
negative,'United ticket counter Masters out of SMF not very helpful'
positive,'united cool thanks'
negative,'united my baggage is in shannon now so never mind u can work on giving me some  back now'
negative,'united if youre listening why are you the lowest provider of inflight wifi Get with the times'
negative,'united thats funny because I emailed VirginAtlantic once and they found it hadnt left LHR In the mean time stuck with no bag in NYC'
negative,'united is the biggest joke of a companyI will never fly with them again 3 days now waiting for my bag they dont even know where it is'
negative,'united why havent you updated that flight 4411 is delayed Super frustrating'
negative,'United what the I go into the all airlines lounge w my Star Alliance Club Card in BCN only to be told Star Alliance isnt accepted'
negative,'united Y do U not reply to customer refund forms unitedairlines'
negative,'united lt'
negative,'united it has now been 16 days since i applied for my compensation'
negative,'united submitted customer care form Jan 7th Still no response A little longer then 7  10 business days'
negative,'united laurasbrown5 Clearly United lives in the stone age Some people dont need computers make your site better for tablets and phones'
negative,'united laurasbrown5 What does dealing via email have anything to do with a crappy web form that is not made for mobile devices'
negative,'united PGATOUR NTrustOpen I read that last hashtag as Go F United Makes sense since they F us by Cancelled Flightling ticketed reservations'
negative,'united gg8929 Im sorry United isnt able to keep its word cuz their IT is totally inadequate but they still says its a customer fault'
negative,'united How can you not know where my bags are  You knew where they were 6 hours ago You are killing me  Worst service Ever'
negative,'united Stop pretending you care about the welfare of my daughter United Airlines had the opportunity to help n failed  United airlines'
negative,'united I have received one previously on the 11th having checked Odd as you said there was no complaint associated with my email'
negative,'united Checking tracing information You got 2 numbers wrong in my phone number amp'
negative,'united  treats service members like crap never flying again with them UnitedAirlines  CNN'
negative,'united What is the point of a UPC code on checked baggage if you cant tell me where my luggage is Vacation day 3 trying on swimsuits'
negative,'united how come I have no baggage updates'
negative,'united Thanks for your response Bags came but it was a long wait and priority tags werent honored at all Disappointing'
negative,'United UnitedAirlines and the hits keep on coming httptco44ZHmfDIW6 unitedfail unitedwithivy'
negative,'united 3 hrs searching for flts find 1 on site amp'
negative,'united next flight Dont think Ill be spending anymore money with you guys ever It was that bad'
negative,'united are my bags here yet  They were at Palm Springs airport  I was at LAX  How come I beat my bags here'
negative,'united why couldnt you have changed the tire of my delayed UA1127 flight when it arrived instead of waiting until boarding'
negative,'united A generic form with tons of fields asking for info you already  Expected more as a premier platinum Another servicefail'
negative,'united wtf is your username andor email addr signin STILL unavailable Been trying to login since Sunday'
negative,'united I want my bags There is vital equipment in there You are royally screwing me Im cranky and want an update'
positive,'united you guys have such big hearts keep up the good work'
negative,'united Flight 512 had sime of the rudest flight attendants I was run over by the drink card and had a flashlight dropped on me noapology'
negative,'united I am VERY disappointed with SilverAirways as your partner No communication 2 extremely Late Flight flights Really all around horrible'
negative,'united missed connection wrong city bags at Palm Springs but not at hotel I am seriously tired of being treated this way'
negative,'united Where are my bags  They werent in LAX like your promised  9 out of 10 things today were a mess today because of you'
positive,'united received my bag I appreciate taking care of the matter and following up'
negative,'united still havent received a response Please direct message me for my contact information'
negative,'united Ive been waiting on my bag in IAH for 45mins  Theyre only 4 freaking people on that flight waiting for bags  Fix this'
negative,'united RTBgt'
negative,'united federal regulation prohibits you being separated from your bagyet you lose our bag and thats okay'
negative,'united tried to check it 40 mins before a flight rather than 45 mins and we are stonewalled by your employees'
negative,'united do you guys have any working planes'
negative,'united again you said to go take the time to go there knowing what the issue was and knowing you wont fix it'
negative,'united 3 hour delay plus a jetway that wont move This biz traveler is never flying u again'
negative,'united my son is a passenger on flight 3710 from Chicago to Toronto The plane came within feet of colliding  another plane and is stopped'
negative,'united Yes It was the airport person who told me the bag was still in Nashville when I filed the claim 12'
negative,'united Ugh  My bags were sent to Palm Springs and not to LAX as promised  They better be at the hotel when I get there'
negative,'united Direct Messaged you didnt hear anything back'
negative,'united yup it just happens way too often5 times in the last 12 months'
negative,'united so who does handle bag issues And why wouldnt you put me onto them in the first place'
negative,'united Holiday of a lifetime to New York ruined because you lost my luggage and have failed to find it since Sunday wontflyagainwithyou'
negative,'united my golf bag didnt have a top cover  staffers said they couldnt check without a type of cover or wrap Forced to leave the bag'
negative,'united when will you offer real food in american clubs like the amazing food you offer in Heathrow'
negative,'united once again my bag is lost when I travel united Please do something'
negative,'united Stuck on plane for over an hour due to mechanical faults Any updates please This happened on way to Newark and now again to LHR'
negative,'united did I mention one bag is an infant car seat amp'
negative,'united hard to believe since your staff  SFO checked them under someone by the name of ritacomo who flew to EWR the same day'
negative,'united its Late Flight Im tired and understandably edgy for trying to catch my flight I wasnt chipper but I def was not rude'
negative,'united rude cust ser agents busy chatting then yelled bc I took pic Put me stdby when seat Diff agent gave me seat 30min Late Flightr Platinum'
negative,'united I am a frequent user Congrats u only lost my bags once in 20 years Problem it was today and your staff were rude unamused  still no bag'
positive,'united Sivi Stewart at Lax was fantastic tonight helping to find a lost item for us at the airport  Much thanks'
negative,'united Yes though they have not located the bag yet It was a lovely flight outside of that'
positive,'united Got me home amid snow amp'
negative,'united My wife has been on the phone several times for past 3 days with no result'
negative,'united so you are saying that customer care does not report to anyone Their response is humiliating for a company that serves the public'
negative,'united unitedairlines so my feedback is for your benefit not for you to correct your atrocious customer service Good to know'
negative,'united UnitedAirlines fill out form and never receive response I expect remedy We can travel another airline and Cancelled Flight as members w u'
negative,'united 1213EWRLAX UA1151 my seatarmrest broken discover after takeoff flight fullFA filed report who to chat with for partial refund'
negative,'united so you told me to go knowing what the issue was only for me to go there and find out that you wont fix it'
negative,'united so I made it all the way to the airport and they say they wont fix the handle I showed you this problem and you said to go'
negative,'united then why do you bother responding Your customer service is THE WORST Never using you guys again'
negative,'united free hotel doesnt make up for such poor customer service and disregard'
negative,'united its messed up to refuse to wait 10 min after united is at fault for delay but to leave early is absolutely disgusting'
negative,'united thx for checking in Never got through via phone On hold over hour How long is too long to wait on hold Ugh csfail'
negative,'united how else would I know it was denied'
negative,'united You allow shady 3rd party services to sell your tickets and then refuse to help the customer whos left holding the bag'
negative,'united Hours on the phonehung up onall I want is to be on a different flight same day that has an open seat greatservice'
negative,'united which now has maintenance issues with an undetermined amount of time until the mechanics even arrive'
positive,'united be  Chicagos hometown airline care about your neighbors SaveTheDiagonals FlyQuiet ORDNoise'
positive,'united Give Cyndi amp'
positive,'united our flight attendant superben was super helpful in finding a bag we left on a flight today Excellent customer service Name fits'
negative,'united I cant go back to the airport Im working and wont have time  Are you telling me there is seriously no other way'
negative,'united 3875 to Denver which we are supposed to be boarding right now but has yet to land'
negative,'united Ive been doing this for 15 years and Ive never had this many issues with any other airline'
negative,'united haha thats fine Still wont fly united ever again Seems like you guys have more problems than anyone else'
negative,'united note they are traveling w 2yr old Unreal'
positive,'united and they were traveling as guests of a mileage plus member using that members miles Great customer service'
negative,'united mechanical issues causes delay and connecting plane at ORD only needed to wait 10 min for them Refused and left early instead Wtf'
negative,'united Im on one of your 757300 between JFK and LAXWhen r u upgrading planesPlane has no Screenslousy seats And thats in UnitedFirst'
positive,'United Bringing your A game with premium cabin dining Nice httpstcozgOQoxjBQY'
negative,'united you already have vomit so you are halfway there'
negative,'united is amazing how hard is to talk with customer service '
negative,'united fair enough but it stinks to be the passenger on the plane that leaves the gate then sits on the tarmac for an hour before takeoff'
negative,'united you guys suck You delay flights but cant hold the connectors 10 minutes WorstAirlineEver'
negative,'united time for a rantyou delayed my flight and still forgot my luggagethen delayed on the Tarmac moments I love you United'
negative,'united  thanks for the rude customer service and 3 hour delay It really helped me timing wise for my afternoon meetings Hello Delta '
negative,'united Useless response I need a functioning wheelchair not a customer care form to fill out'
positive,'united awesome Thx And thx for replying so damn fast sure as hell beats 80s cheeze hold music'
negative,'united 55 cab ride to dfw from love got me my bag Reimburse'
negative,'united gg8929 Unbelievable hypocrisy'
positive,'united thanks for not getting my BusinessFirst priority tagged bag onto my connecting flight at EWR despite a 2 hour layover Nice job'
negative,'united On top of this a CSR went ahead and hung up on me after I called United to discuss this'
negative,'united now finally in memphis Landed 30 minutes ago Still no bags Paying for a service that just gets worse'
negative,'united thanks for a terrible experience at EWR Customers should be treated as a priority not as an inconvenience tryagain'
negative,'united The third wheelchair is broken httptcotvk0PyxQv5'
positive,'united She met me from customer service at the arrival of flight UA3787 PVDIAD Thanks you guys have really handled this storm'
negative,'united my flight was at 1 pm Still at the airport gee what service  Do they care nope  Delayed until 755'
negative,'united very disappointed in CC Purchased ticket online w voucher and charge full amnt Would not hold price after refund Unacceptable'
negative,'united exactly it states a secure document is a nexus card It does not state a passport must always be also presented Read it'
negative,'I feel completely cheated united I read your commitment to customer service via website and def did not get service suggested there'
negative,'united annricord 0162431184663'
negative,'United I feel very well informed yes the flight is indeed delayed Thank you httptcoFuCHZRZjg5'
negative,'united Why do I pay more for Coach Plus to be told preboarding that all overhead bins will be full for me'
negative,'united can I get some help changing a ticket  40 minutes on hold and counting'
positive,'united thanks for all the help Totally appreciate it and you made it super easy too'
negative,'united was told by Supervisor that United disconnected their customer support  so there was nobody to address it now igiveup'
negative,'united Your MileagePlus signup page is broken'
negative,'united 7 for wifi just so I can tell my family Im gonna be Late Flight cause i had to sit in a grounded plane for the past two hours'
negative,'united FYI continuous texts and emails I am getting about the delay while held captive on the tarmac are not that helpful'
negative,'united so not only were you Late Flight you broke my luggage handle You paying for a new one httptconYVV1X3d67'
negative,'united No friendly skies from you today 5hr weather delay in SFO followed by 1hr mechanical delay while sitting on plane NoFun'
negative,'united once again your customer service rep was rude   I asked a question and in turn got attitude  Jane was no help  Disgusted again'
negative,'united poor old United never seem to get the response right '
negative,'united obviously the staff at EWR  United or otherwise have not seen your ads about  being FRIENDLY and helpful ewr worst airport'
positive,'united thanks '
negative,'Hypocrisy RT united gg8929 Im sorry were not able to offer a full refund because the exchange rate is not what you were hoping for KP'
negative,'united I shouldnt have to spend my own  on a hotel because of a weather delay The weather being something COMPLETELY OUT OF MY CONTROL'
negative,'united  eventually  You should approach bags like AlaskaAir  they get it'
negative,'united said they would give us a refund 30 days Late Flightr NO refund'
negative,'united how can you not know the weight of our plane after us sitting on the plane for 25 hrs Not convinced your company is safe for flt'
negative,'united we showed up to our flight several hours early Tried to call amp'
negative,'united if your policy changed you must advise at the time of purchase  Same if you choose to vary it by airport  We want a FULL refund'
negative,'united wanted to but you Cancelled Flightled my tickets They were too special i guess even for united'
negative,'united Im 03 for Flight Booking Problems without major problems 0 isnt bad thumbs down  thumbs down '
negative,'united el_ingeniero dont check your baggage if you dont have to  They will lose it'
negative,'united how can you not know after two hours of us sitting on the plane with no bags off loaded the planes weight'
negative,'united You make it hard to fly with you Delayed over an hour and now the plane  is turning around amp'
negative,'united  Serious firing needs to happen at HNL They broke the wheelchair you loaned me after you broke mine httptcobT37KyrByJ'
negative,'united Call customer service and of course they just say theres nothing we can do and then offer a transfer and disconnect the line'
negative,'united if our already rescheduled flight is Cancelled Flightled is our hotel room paid for'
positive,'united Elizabeth at Washington Dulles just hooked me up with a new connecting flight at my gate Im super pleased'
negative,'united flight UA3364 been sitting on tarmac for 30 mins with no report as to whyany input'
negative,'united A 3rd party service you use to sell your tickets has ripped me off Excellent service United is offering'
negative,'united thanks for that advice so helpful Cant believe you guys actually charge people to fly united'
negative,'united If you have had any issues with  United Airlines PLEASE retweet Paid for a full fight ticket and was given a standby instead'
negative,'united just tried to log in and was told email log in not currently available'
negative,'united so I wasted 40mins filling in 2 online forms you are telling me you didnt receive how do I know this wont happen this time'
negative,'united stuck here in IAH waiting on flight 253 to Honolulu for 7 hours due to maintenance issues Could we have gotten a new plane Fail'
negative,'united UnitedAppeals gg8929 What kind of hypocrisy is that Only Cancelled Flightling tickets with bad exchange rate if in your advantage united'
negative,'united No The entire problem here is that I was never sent anything via email and only given a Flight Booking Problems number over the phone'
negative,'united calling that number was useless Heading to the airport now to pick up my bags this whole situation seems like a real joke'
negative,'united Ill be sendingposting complete details of the circumstances surrounding this matter  United airlines should be ashamed'
negative,'United Hidden City forces me into crappy seat even though exit row is available on the first leg Your support cannot fix '
negative,'united missed it  Incoming on time then Sat for 30 then no jetbridge drivermissed a 45min connection from an on time flight'
positive,'united You might be dealing with frustrated passenegers hope you all have a great day  thank you very much for an amazing airline '
negative,'united yes still need assistance I dont have a flight home due to change in flight u made I miss all connections '
negative,'united thanks We would like an apology and a full refund Please confirm when we will receive'
negative,'united My flight UA1159 to Denver for RMOUG15 has been recheduled 5 times'
negative,'united youre just using automated  responses and dont have the decency to actually carerespond'
negative,'united JT the issue is with missed connections early gate closings and zero concern from customer service'
negative,'united I did DM the details back on 0214 when this started with phone number to reach me no reply either online or by phone'
negative,'united no claim number Havent been back to iAd baggage since Is there a phone I can call to speak to someone'
negative,'united worst service ever '
negative,'united thanks for your attention I would actually like to make a specific complaint about customer service at DCA What is my best option'
negative,'united cant believe United cant find someone to just simply check a seat back for a missing passport Loved United but debating choice'
negative,'united I am furious  Youre firm is a disgrace Despite all our efforts you did zero to protect our daughter All alone at night  United'
positive,'united holy high speed internet batman  Speeds at United Club at IAD are insanely fast  Thanks'
negative,'united Your website Flight Booking Problems experience is an obnoxious upsellladen disaster for anyone with half a brain'
negative,'united Flt 4487 is having some MAJOR delays bc ground crew was so SLOW The flight crew has been terrific Been 2 hours on the ground bad '
negative,'united sorry I hate united i wont get to see my family until Thursday'
positive,'united Thanks for the timely service amp'
negative,'United Your customer service for Mileage Plus customers is a disgrace I just spent 45 min on the phone to reset a pin number with no luck'
negative,'united All these changes Way to stick it to your Premiere 1K loyal customers Why make things harder for those that loyal to you'
negative,'united thanks for the offer but I finally made it to my destination albeit hours Late Flight'
negative,'United Airlines Cancelled Flights OC FLL flight today 700 to switch No notice no apology We are done flying UnitedAirlines'
negative,'united it would be super if you paid as much attention to actual fliers as you do to credit card holders'
negative,'united I travel a lot and I get it Youre still my fave but EWR to Cleveland w40 min layover to connect to DC  our best option Come on'
negative,'united 3pm and my bags still not here not even a courtesy toiletries kit not the flight experience I was expecting very disappointed'
negative,'United Airlines Cancelled Flights OC FLL flight today 700 to switch No notice no apology Done flying UnitedAirlines'
negative,'united flight 86 LAXIAD back rows NOT CLEANED prior to boarding How gross is that to find used tissues in your seat  Please'
positive,'united thank you '
negative,'united plus you horrible seating and poor customer service everywhere Ive flown now you take away the mileage programhorrible'
negative,'united youd learn if you listen to your customersyou do want you wantVirginAmerica asks their customer what they want'
negative,'united customer service  thumbs down '
negative,'united Priceless United stranded my daughter at OHare United did zero to keep her safealone on a plastic chair for 9h  United Air'
negative,'united 3359 which you finally Cancelled Flightled'
negative,'united thanks finally made it Missed meetings but what can I do now'
negative,'united Our flight was originally supposed to leave at 140pm amp'
negative,'united Supposedly theyre out for delivery Ill believe it when I see it'
negative,'united Hi JH my experience with United has been entirely disgusting but yes Id like assistance in getting compensated for my bag'
positive,'united took this picture on Thursday awesome httptcoIVGpZSjtkW'
negative,'united I cant even fit my name on the first two lines yes Please do pass on feedback This is a big downgrade from previous years'
negative,'united no it was 2 flight Cancelled Flightlations one due to weather one mechanical paid own hotel bag held in transfer No vouchercompensation'
negative,'united i got email that my reservations got Cancelled Flightled and i will be refunded  Nothing got refunded as of yet'
negative,'united So what do you offer now that my flight was Cancelled Flighted and Im stranded away from home and work'
negative,'united you are really trying me today'
negative,'united no they were to busy taking to each other and I needed to get to an audition'
negative,'united quick response offering assistance but lack of follow through  not really the service I was expecting'
negative,'united Stuck in IAD going on 6 hours waiting for a ferry flight from Nashville that u cant tell when it will arrive Ridiculous'
negative,'united flt 4567 no gate agent no announcements So unprofessional Time to go back to Delta'
positive,'united Thanks KP Please also mention the Quiche breakfast and Tandoori chicken dinner entrees and accompaniments are truly First Class'
negative,'united flt 4567 departure time has changed five times in the last 20 minutes Why dont you figure out a solution and announce once'
negative,'united bags are still in Houston since Friday and still have not been reimbursed the baggage fee'
negative,'united flight 4567 have already been Cancelled Flightled once been trying to get home two days Staff being very unhelpful'
negative,'united each flight is worse than last flight attendants dont even know whether the plane is equipped with power outlets at the seats'
negative,'united waiting for flight 4567 to memphis Incredibly rude gate agent waited until after departure time to announce delay 1 of 2 rude'
negative,'united I dont need to make any changes I reserved my seats when I bought my tickets and there was an error amp'
negative,'united its 2015 and no power outlets at the seats on a 6 hour flight to California Seriously This is why airlines are failing Pathetic'
negative,'united Im not this person but Ive been sitting in Denver for three hours and all I want to do is get on a plane Please let me go home'
negative,'united  flight 441 on 24 was delayed over three hours because the pilot never showed up'
negative,'united which is why my next flights to Miami will be on another airline'
negative,'united It is super frustrating that the folks at the United Ticket Counter in Pittsburg arent honoring their own Media Rate unitedfail'
negative,'united 45 minutes after arrival and no bags for most people UA469 from den to ewr How long should we wait until a ual rep comes here'
negative,'united with Karen and found her unhelpful and rude  called United at the time amp'
negative,'united she has crossed 4 prior times with other carriers and no issue Karen was rude untrained and unhelpful I also spoke'
negative,'united 2 employee yelled at her 3 employee stood with others whispering and pointing at her from behind counter'
negative,'united 1 refused boarding with Nexus nexus confirmed she should not be refused'
positive,'united on a good note the 2 employees I encountered  Newark were fabulous I was very Late Flight for my connecting flight and they got me on'
negative,'united u lost my bag and would not refund my bag fee Does that make sense to you And yes I already called cust svc They said no'
negative,'United yall tried it with this little bitty plane flying out of boston I hate little planes'
negative,'united the refund request functionality on httptco5IMDckODfx is brokeni get a time out error'
negative,'united NY_NJairports Only at Newark can you land 15 minutes early but lose all that time waiting on tarmac for a gate'
negative,'united giving up on your direct flight from IAH to Honolulu 3rd attempt in 3 years  3rd delay  7 meal voucher Wow Customer service'
negative,'united Nearly 48 hours Late Flightr and still no idea where it is I will never fly United again if I can help it'
negative,'united 1591 had wifi broken on plane Had same outage on 1618 on Friday How can Southwest get it right on every plane but United cant'
negative,'united Second day amp'
negative,'united when is my plane coming  Been delayed for almost 7 hours No plane'
negative,'united Not fast enough  No excuse for service between big hubs to have such outdated craft Southwest has wifi This is awful'
positive,'united thankful for great service in Newark Seats fixed and I was seated with my daughter Fab landing in Fort Myers'
negative,'united my mothers flight was delayed from phlord Were on our way to NRT and the gate refused to upgrade A platinum  Blegh'
negative,'united is Late Flight again  Everyone braved the weather and 40 passengers are waiting for a flight crew  Really'
negative,'united Miserable trip  lost bag Sat found Mon lost again shipping 2nd day ground Tues might have it for return flight home'
negative,'united spending the afternoon  Mia Not your fault  No lounge Very inconvenient'
negative,'united costumer service sucks Waiting for a week for a response'
negative,'united I was denied use of a rear facing car seat on UA5025 an ERJ145 Can you confirm the actual policy'
negative,'united you better hold my flight to Tucson 5237 just landed in Houston after an hour delay for some minor computer problem'
negative,'united dropped off a luggage at IAD over 2 months ago for repair from damages havent heard anything about it since when do I get it back'
negative,'united feck guys Stop Cancelled Flightling flights from EWR to RIC the weather is fine I both locations'
positive,'united FlyANA_official pleasantly surprised to find ANA has made major upgrades on their transpacific route in flights planes and service'
negative,'united Step 1 Cancelled Flight flight Step 2 Dont notify customer Step 3 Charge them for food while they try to survive their wait Brilliant'
negative,'united  besides no small degree of selfinterest We take that route several times a year amp'
negative,'united we rebooked But casleah and I had to split up and take different flights because a pilot ran out of hours Frustrating'
positive,'united jsumiyasu I am thankful to the  United ground staff who put me in the last seat on the last flight out Home Late Flight is still home'
positive,'united I appreciate the follow up'
negative,'united  thats the gist of what the flight attendant told her'
negative,'united BTW is it true you have to remind flight staff after checking in even after indicating meal prefer on your reservation '
negative,'united what took me aback was the response by the flight attendant who put the responsibility squarely back on passengers shoulders '
negative,'united No but u cld explain how such a disorganized and inefficient company w surly and obviously unhappy employees stays in business'
negative,'united sat at airport for 5 hrs still sitting at gate  Sigh'
negative,'united Gold Star for united change my flight miss all connections but cant accommodate me until a MUCH Late Flightr arrival timeNot HAPPY'
